date,hub_id,orders,active_clients,fuel_price,is_weekend,is_festival,demand
2019-01-01,1,867,90,98.26,0,0,868
2019-01-02,1,915,93,96.67,0,1,1206
2019-01-03,1,877,111,95.13,0,0,934
2019-01-04,1,939,72,95.85,0,0,937
2019-01-05,1,856,159,82.84,1,0,1225
2019-01-06,1,870,116,94.92,1,0,1026
2019-01-07,1,906,123,92.32,0,0,1089
2019-01-08,1,887,117,96.31,0,0,1020
2019-01-09,1,889,93,96.58,0,0,1012
2019-01-10,1,893,134,96.94,0,0,996
2019-01-11,1,927,104,98.82,0,1,1141
2019-01-12,1,891,117,85.95,1,0,1171
2019-01-13,1,900,104,85.56,1,0,1131
2019-01-14,1,901,83,97.17,0,0,998
2019-01-15,1,907,121,95.52,0,0,990
2019-01-16,1,877,98,100.24,0,0,1037
2019-01-17,1,898,75,98.01,0,0,958
2019-01-18,1,886,158,92.94,0,0,1100
2019-01-19,1,895,72,102.64,1,0,990
2019-01-20,1,904,101,97.72,1,0,1071
2019-01-21,1,902,125,94.89,0,0,925
2019-01-22,1,905,71,93.85,0,0,921
2019-01-23,1,878,125,90.42,0,0,1000
2019-01-24,1,933,80,103.43,0,0,1007
2019-01-25,1,910,72,106.6,0,0,898
2019-01-26,1,870,140,85.7,1,1,1344
2019-01-27,1,905,92,90.3,1,0,1057
2019-01-28,1,854,70,84.74,0,0,872
2019-01-29,1,922,88,86.36,0,0,1027
2019-01-30,1,960,144,98.71,0,0,1160
2019-01-31,1,916,158,83.9,0,0,1164
2019-02-01,1,871,149,106.19,0,0,1033
2019-02-02,1,855,117,89.24,1,0,1130
2019-02-03,1,896,96,100.27,1,0,1045
2019-02-04,1,902,130,100.1,0,0,1031
2019-02-05,1,891,75,84.3,0,0,902
2019-02-06,1,938,129,97.84,0,0,1045
2019-02-07,1,907,87,92.32,0,0,985
2019-02-08,1,917,101,89.7,0,0,992
2019-02-09,1,864,102,88.85,1,0,995
2019-02-10,1,940,119,91.0,1,0,1076
2019-02-11,1,847,134,103.62,0,0,959
2019-02-12,1,906,132,85.64,0,1,1341
2019-02-13,1,887,129,92.17,0,0,1061
2019-02-14,1,835,75,94.71,0,0,868
2019-02-15,1,825,82,103.18,0,0,875
2019-02-16,1,919,159,89.85,1,0,1264
2019-02-17,1,914,117,92.15,1,0,1097
2019-02-18,1,879,136,104.93,0,0,970
2019-02-19,1,931,145,97.66,0,0,1113
2019-02-20,1,944,138,92.48,0,0,1088
2019-02-21,1,918,138,95.01,0,1,1289
2019-02-22,1,892,81,102.03,0,0,927
2019-02-23,1,933,136,99.12,1,0,1179
2019-02-24,1,918,115,89.7,1,0,1098
2019-02-25,1,919,137,91.46,0,0,1098
2019-02-26,1,870,105,94.46,0,0,913
2019-02-27,1,879,151,94.87,0,0,1044
2019-02-28,1,925,124,85.8,0,0,1062
2019-03-01,1,886,158,95.07,0,0,1105
2019-03-02,1,918,147,93.37,1,0,1161
2019-03-03,1,925,154,101.74,1,0,1307
2019-03-04,1,923,108,94.93,0,0,951
2019-03-05,1,896,76,95.54,0,0,908
2019-03-06,1,891,77,85.51,0,0,920
2019-03-07,1,900,100,91.01,0,0,1031
2019-03-08,1,879,136,90.25,0,0,957
2019-03-09,1,924,108,100.11,1,0,1148
2019-03-10,1,904,125,86.33,1,0,1102
2019-03-11,1,945,116,95.27,0,0,1053
2019-03-12,1,848,89,95.59,0,0,843
2019-03-13,1,830,156,89.62,0,0,1083
2019-03-14,1,887,97,94.33,0,0,988
2019-03-15,1,905,97,86.89,0,0,940
2019-03-16,1,849,115,89.61,1,0,1089
2019-03-17,1,959,79,99.68,1,0,1095
2019-03-18,1,900,134,94.56,0,1,1212
2019-03-19,1,936,128,91.31,0,0,1126
2019-03-20,1,940,124,85.43,0,0,1029
2019-03-21,1,879,122,95.03,0,0,982
2019-03-22,1,943,131,95.72,0,0,1087
2019-03-23,1,904,72,74.13,1,1,1243
2019-03-24,1,910,126,101.16,1,0,1138
2019-03-25,1,875,144,98.56,0,0,1075
2019-03-26,1,907,99,101.35,0,1,1065
2019-03-27,1,893,148,82.82,0,0,1162
2019-03-28,1,898,153,94.91,0,0,1101
2019-03-29,1,849,144,101.74,0,0,912
2019-03-30,1,894,125,88.39,1,0,1155
2019-03-31,1,825,120,95.46,1,0,1059
2019-04-01,1,946,159,94.36,0,0,1070
2019-04-02,1,913,116,91.25,0,0,994
2019-04-03,1,874,121,100.11,0,0,934
2019-04-04,1,922,157,85.91,0,0,1175
2019-04-05,1,903,92,97.4,0,0,901
2019-04-06,1,858,84,104.14,1,0,866
2019-04-07,1,887,155,102.14,1,0,1174
2019-04-08,1,915,136,105.12,0,0,1073
2019-04-09,1,896,109,97.41,0,0,1050
2019-04-10,1,911,128,103.37,0,0,946
2019-04-11,1,938,73,92.25,0,0,914
2019-04-12,1,940,144,96.04,0,0,1129
2019-04-13,1,922,126,98.01,1,0,1098
2019-04-14,1,886,95,92.42,1,0,1082
2019-04-15,1,927,159,92.25,0,0,1091
2019-04-16,1,835,72,93.81,0,0,862
2019-04-17,1,865,134,101.04,0,0,952
2019-04-18,1,889,104,109.34,0,0,902
2019-04-19,1,891,145,96.02,0,0,1041
2019-04-20,1,868,129,98.19,1,0,1133
2019-04-21,1,886,73,96.74,1,0,1110
2019-04-22,1,899,101,105.63,0,0,922
2019-04-23,1,906,135,85.52,0,0,1048
2019-04-24,1,869,133,86.13,0,0,1062
2019-04-25,1,867,98,97.88,0,0,995
2019-04-26,1,888,143,104.06,0,0,1038
2019-04-27,1,901,74,102.72,1,0,992
2019-04-28,1,906,105,95.16,1,0,1086
2019-04-29,1,883,116,84.33,0,0,1063
2019-04-30,1,959,112,100.21,0,0,985
2019-05-01,1,911,100,96.3,0,0,988
2019-05-02,1,869,90,89.06,0,0,909
2019-05-03,1,911,109,87.59,0,0,942
2019-05-04,1,887,95,98.7,1,0,1017
2019-05-05,1,900,151,93.62,1,0,1212
2019-05-06,1,895,121,97.83,0,0,913
2019-05-07,1,875,97,106.09,0,0,966
2019-05-08,1,902,155,108.66,0,0,967
2019-05-09,1,889,152,90.3,0,1,1291
2019-05-10,1,844,88,101.52,0,0,847
2019-05-11,1,927,107,79.09,1,0,1196
2019-05-12,1,881,79,95.66,1,0,1006
2019-05-13,1,906,134,100.61,0,0,1086
2019-05-14,1,944,136,110.43,0,0,1057
2019-05-15,1,893,85,102.5,0,0,930
2019-05-16,1,914,76,98.56,0,0,902
2019-05-17,1,933,70,103.2,0,0,966
2019-05-18,1,935,81,102.89,1,0,975
2019-05-19,1,928,155,100.7,1,0,1188
2019-05-20,1,901,150,94.88,0,0,1075
2019-05-21,1,865,142,90.23,0,0,1094
